         395618 function calls (373509 primitive calls) in 1.928 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  137/134    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      137    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      135    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      133    0.000    0.000    0.001    0.000 typing.py:1454(<genexpr>)
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      125    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      121    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      121    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      121    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      120    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
      120    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      119    0.001    0.000    0.001    0.000 enum.py:390(__setitem__)
      119    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      119    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      118    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      118    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
    115/1    0.001    0.000    1.928    1.928 {built-in method builtins.exec}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      113    0.027    0.000    0.027    0.000 {built-in method marshal.loads}
      113    0.304    0.003    0.304    0.003 {built-in method _io.open_code}
      113    0.095    0.001    0.095    0.001 {method '__exit__' of '_io._IOBase' objects}
      113    0.077    0.001    0.077    0.001 {method 'read' of '_io.BufferedReader' objects}
      113    0.000    0.000    0.278    0.002 <frozen importlib._bootstrap_external>:1202(path_stats)
      113    0.001    0.000    0.477    0.004 <frozen importlib._bootstrap_external>:1183(get_data)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      113    0.002    0.000    0.790    0.007 <frozen importlib._bootstrap_external>:1062(get_code)
    113/2    0.001    0.000    1.881    0.941 <frozen importlib._bootstrap_external>:989(exec_module)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      113    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      113    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      113    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      112    0.002    0.000    0.005    0.000 _compiler.py:467(_get_charset_prefix)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
      103    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      102    0.000    0.000    0.000    0.000 enum.py:1292(value)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       96    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       91    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
       90    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
       90    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       86    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       85    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
