Sun Sep 21 13:01:59 2025    profilingResults.cprof

         412328 function calls (412239 primitive calls) in 9.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/url.py:367(parse_url)
        4    0.000    0.000    0.025    0.006 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:1080(_find_all)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.002    0.002 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/ssl_.py:225(create_urllib3_context)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:216(_parsegen)
        5    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1414(_missing_)
        1    0.000    0.000    2.485    2.485 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/adapters.py:590(send)
        1    0.000    0.000    1.549    1.549 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:534(getresponse)
        1    0.000    0.000    0.002    0.002 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/sessions.py:457(prepare_request)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    4.284    4.284 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/api.py:14(request)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
        1    0.000    0.000    0.805    0.805 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:895(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:504(set_alpn_protocols)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:418(request)
        4    0.000    0.000    0.025    0.006 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:164(find_all)
        1    0.000    0.000    2.477    2.477 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connectionpool.py:592(urlopen)
        7    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:453(<genexpr>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1389(_normalized_cookie_tuples)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.12/http/cookiejar.py:1599(make_cookies)
       52    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/structures.py:46(__setitem__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:949(set_ok)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/_collections.py:335(extend)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.12/queue.py:122(put)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:52(__init__)
       57    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:226(compile)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:1129(__new__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1486(_cookie_from_cookie_tuple)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/http/client.py:231(_parse_header_lines)
        1    0.000    0.000    0.121    0.121 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
       46    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/client.py:1292(putheader)
       59    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:202(__get__)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:301(header_source_parse)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/queue.py:154(get)
        1    0.000    0.000    1.549    1.549 /usr/lib/python3.12/http/client.py:324(begin)
       30    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        5    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1134(_is_dunder)
        1    0.000    0.000    0.913    0.913 /usr/lib/python3.12/http/client.py:291(_read_status)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/request.py:2505(getproxies_environment)
        1    0.000    0.000    4.284    4.284 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/api.py:62(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:511(_compile_info)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:494(get)
       30    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/_collections.py:257(__getitem__)
        2    0.000    0.000    0.001    0.001 /usr/lib/python3.12/http/cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    2.476    2.476 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connectionpool.py:377(_make_request)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       25    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.12/encodings/__init__.py:71(search_function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    4.284    4.284 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/sessions.py:500(request)
        1    0.000    0.000    1.549    1.549 /usr/lib/python3.12/http/client.py:1384(getresponse)
        2    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/_collections.py:141(clear)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/__init__.py:108(lookup)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:100(push)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:137(__init__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/email/parser.py:41(parse)
       42    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/structures.py:51(__getitem__)
        1    0.000    0.000    0.121    0.121 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:192(_new_conn)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:232(http2time)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/url.py:301(_normalize_host)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:669(reset)
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:947(quote_from_bytes)
        8    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.12/typing.py:1188(__setattr__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/encodings/cp1252.py:14(decode)
        1    0.000    0.000    0.064    0.064 /usr/lib/python3.12/socket.py:946(getaddrinfo)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1015(set_ok_domain)
       74    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:620(request_host)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:529(get_all)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        6    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/structures.py:40(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       55    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
