         395630 function calls (373519 primitive calls) in 0.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      145    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      220    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       50    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      183    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.002    0.002 _types.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:135(BeautifulSoup)
      311    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
       22    0.000    0.000    0.001    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.000    0.000 default.py:1(<module>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
      181    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.004    0.004 cookiejar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _decoders.py:1(<module>)
        1    0.000    0.000    0.062    0.062 _content.py:1(<module>)
        1    0.000    0.000    0.028    0.028 core.py:1(<module>)
       40    0.000    0.000    0.001    0.000 typing.py:885(__init__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       18    0.000    0.000    0.000    0.000 typing.py:1548(__getitem__)
    79/57    0.000    0.000    0.003    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.000    0.000 dammit.py:734(UnicodeDammit)
      133    0.000    0.000    0.000    0.000 typing.py:1454(<genexpr>)
        1    0.000    0.000    0.000    0.000 wsgi.py:1(<module>)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.036    0.036 cd.py:1(<module>)
        1    0.000    0.000    0.030    0.030 css_match.py:1(<module>)
       69    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.155    0.155 formatter.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.027    0.027 css_parser.py:428(CSSParser)
        1    0.000    0.000    0.021    0.021 client.py:1(<module>)
       14    0.000    0.000    0.000    0.000 _compiler.py:391(_bytes_to_codes)
       13    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      163    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      120    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       42    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.431    0.431 _api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:826(Path)
       12    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
        1    0.000    0.000    0.000    0.000 filter.py:1(<module>)
       68    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       87    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
      135    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.094    0.094 _urls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        1    0.000    0.000    0.049    0.049 api.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.015    0.015 css_types.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1083(_TypedDictMeta)
        1    0.000    0.000    0.015    0.015 asgi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.015    0.015 _typing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.284    0.284 _auth.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        3    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
       58    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       16    0.000    0.000    0.010    0.001 css_parser.py:1149(process_selectors)
        1    0.000    0.000    0.000    0.000 intranges.py:1(<module>)
        1    0.000    0.000    0.005    0.005 mimetypes.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
       16    0.000    0.000    0.026    0.002 css_parser.py:306(__init__)
      125    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       68    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1519(__getitem__)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 _models.py:515(Response)
        1    0.000    0.000    0.000    0.000 ssl.py:944(SSLSocket)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
